section,display_name,generated_name,derived_from,parent,tier,movements_tab,family,modality,equipment,load_position,stance,range_depth,symmetry,grip,grip_width,bench_angle,styles,direction,support,arm_position,variant,aliases,goals,primary_muscles,secondary_muscles,prescription_modifiers,confidence,needs_confirmation,note
core,Inverted Row,Inverted Row,,,0,yes,Pull,Gymnastics,,,,,,,,,,,,,,Ring Rows,Strength,"Lats, Upper Back","Biceps, Core, Forearms / Grip",,medium,,"CORRECTION 4: core noun fixed - the old core produced ""Bar Ring Row"" for its bar child; Rings is its default equipment for name suppression, ""Ring Row"" kept as an alias"
core,Jump,Jump,,,0,yes,Plyometric,Gymnastics,,,,,,,,,,,,,,Basic Jump; Bodyweight Jump; Vertical Jump,"MetCon, Skill","Calves, Glutes, Hamstrings, Quads","Core, Hip Flexors, Lower Back",,high,,"keep as-is; core carries no equipment (new convention); default ""Bodyweight;Floor"" is name-suppression only, not identity"
core,Jump Rope,Jump Rope,,,0,yes,Rope,Monostructural,,,,,,,,,,,,,,,MetCon,"Calves, Full Body",,,high,,"promoted core; new Jump Rope equipment (approved); core carries no equipment (new convention); default ""Jump Rope"" is name-suppression only, not identity"
core,Lunge,Lunge,,,0,yes,Lunge,Gymnastics,,,,,,,,,,,,,,Bodyweight Lunge; Forward Lunge; Statonary Lunge,Strength,"Glutes, Hamstrings, Quads","Calves, Core, Hip Flexors",,high,,"keep as-is; core carries no equipment (new convention); default ""Bodyweight"" is name-suppression only, not identity"
core,Muscle-Up,Muscle-Up,,,0,yes,Ring/Bar,Gymnastics,,,,,,,,,,,,,,Muscle-up,Skill,"Core, Lats, Triceps, Upper Back",,,high,,"promoted core; casing fix; family Climb -> Ring/Bar; Rings default; core carries no equipment (new convention); default ""Rings"" is name-suppression only, not identity"
core,Press,Press,,,0,yes,Push/Press,Weightlifting,,,,,,,,,,,,,,Military Press; Overhead Press; Overhead Press (Strict); Shoulder Press; Standing Military Press; Strict Press,Strength,"Shoulders, Triceps",,,high,,"RENAME to Press; strict is the default execution; 'Strict Press' kept as alias; core carries no equipment (new convention); default ""Barbell"" is name-suppression only, not identity"
core,Pull-Up,Pull-Up,,,0,yes,Pull,Gymnastics,,,,,,,,,,,,,,Bodyweight Pull-Up; Dead-Hang Pull-Up; Pull Ups; Pullups; Strict Pull-Up,Strength,"Biceps, Lats, Upper Back","Core, Forearms / Grip, Shoulders",,high,,"keep as-is; core carries no equipment (new convention); default ""Bar"" is name-suppression only, not identity"
core,Push-Up,Push-Up,,,0,yes,Push/Press,Gymnastics,,,,,,,,,,,,,,Push-up,Skill,"Chest, Core, Triceps",,,high,,"promoted core; casing fix; core carries no equipment (new convention); default ""Bodyweight;Floor"" is name-suppression only, not identity"
core,Rope Climb,Rope Climb,,,0,yes,Climb,Gymnastics,,,,,,,,,,,,,,RX Rope Climb; Rope Ascent; Standard Rope Climb,Strength,"Biceps, Core, Forearms / Grip, Lats","Glutes, Hip Flexors, Shoulders, Upper Back",,high,,"promoted core; un-parent from Pull-Up; family Pull -> Climb; core carries no equipment (new convention); default ""Rope"" is name-suppression only, not identity"
core,Row,Row,,,0,yes,Row,Monostructural,,,,,,,,,,,,,,Concept2 Row; Indoor Row; Row Erg,MetCon,"Glutes, Hamstrings, Quads","Biceps, Core, Forearms / Grip, Lats, Upper Back",,high,,"keep; the erg row (machine family); weight-room rows go to new core Bent-Over Row; core carries no equipment (new convention); default ""Rower"" is name-suppression only, not identity"
core,Run,Run,,,0,yes,Run,Monostructural,,,,,,,,,,,,,,Distance Run; Road Run; Running; Track Run,MetCon,"Calves, Glutes, Hamstrings, Quads","Core, Hip Flexors",,high,,"core; current Single-Leg/Alternating seed values drop (cores carry no identity attributes); core carries no equipment (new convention); default ""Bodyweight"" is name-suppression only, not identity"
core,Sit-Up,Sit-Up,,,0,yes,Midline,Gymnastics,,,,,,,,,,,,,,,Strength,Core,Hip Flexors,,high,,"promoted core; family -> Midline; core carries no equipment (new convention); default ""Bodyweight;Floor"" is name-suppression only, not identity"
core,Ski,Ski,,,0,yes,Ski,Monostructural,,,,,,,,,,,,,,Ski Erg,MetCon,Full Body,,,high,,"promoted core; machine word implied like Row; core carries no equipment (new convention); default ""Ski"" is name-suppression only, not identity"
core,Snatch,Snatch,,,0,yes,Olympic,Weightlifting,,,,,,,,,,,,,,,Strength,"Full Body, Quads, Shoulders",,,high,,"promote; parallel to Clean; Power/KB-Hang derive; core carries no equipment (new convention); default ""Barbell"" is name-suppression only, not identity"
core,Squat,Squat,,,0,yes,Squat,Gymnastics,,,,,,,,,,,,,,Air Squat,Strength,"Glutes, Hamstrings, Quads","Core, Lower Back",,high,,"keep as-is; core carries no equipment (new convention); default ""Bodyweight"" is name-suppression only, not identity"
core,Swim,Swim,,,0,yes,Swim,Monostructural,,,,,,,,,,,,,,Swimming,MetCon,Full Body,,,high,,"promoted core; renamed to the family noun; core carries no equipment (new convention); default ""Bodyweight"" is name-suppression only, not identity"
core,Swing,Swing,,,0,yes,Swing,Weightlifting,,,,,,,,,,,,,,American Kettlebell Swing (Overhead); Kettlebell Swing; Russian Kettlebell Swing,MetCon,"Core, Glutes, Hamstrings, Lower Back",,,high,,"promote + RENAME to Swing; un-parent from Deadlift; family Hinge -> Swing; 'Kettlebell Swing' becomes its generated KB name/alias; current Hang/Partial seed values drop (core carries no identity attributes); core carries no equipment (new convention); default ""Kettlebell"" is name-suppression only, not identity"
core,Thruster,Thruster,,,0,yes,Squat,Weightlifting,,,,,,,,,,,,,,,MetCon,"Full Body, Quads, Shoulders",,,high,,"promoted core (compound rule); family Throw -> Squat; core carries no equipment (new convention); default ""Barbell"" is name-suppression only, not identity"
core,Toes-to-Bar,Toes-to-Bar,,,0,yes,Midline,Gymnastics,,,,,,,,,,,,,,,Skill,"Core, Hip Flexors",,,high,,"promoted core; core carries no equipment (new convention); default ""Bar"" is name-suppression only, not identity"
core,V-Up,V-Up,,,0,yes,Midline,Gymnastics,,,,,,,,,,,,,,V-Ups,Strength,Core,Hip Flexors,,medium,,PROMOTED CORE: resolves the declared Sit-Up fingerprint collision and gives Weighted Single Side V-Ups a home
core,Wall Ball,Wall Ball,,,0,yes,Throw,Weightlifting,,,,,,,,,,,,,,Wall Balls,MetCon,"Full Body, Quads, Shoulders",,,high,,"promoted core; singularized; equipment normalized wall_ball/medicine_ball -> Med Ball; core carries no equipment (new convention); default ""Med Ball;Wall"" is name-suppression only, not identity"
core,Around the World,Around the World,,,0,,Rotation,Gymnastics,,,,,,,,,,,,,,Around The Worlds,Strength,"Core, Obliques",Shoulders,,high,,PROMOTED CORE
core,Calf Raise,Calf Raise,,,0,,Activation,Weightlifting,,,,,,,,,,,,,,Standing Calf Raises,Strength,Calves,,,high,,"NEW CORE: plantarflexion root; standing / bilateral / bodyweight is its silent default; the Dumbbell seed drops (external load is prescription-level); core carries no equipment (new convention); default ""Bodyweight"" is name-suppression only, not identity"
core,Chest Fly,Chest Fly,,,0,,Push/Press,Weightlifting,,,,,,,,,,,,,,Dumbbell Chest Fly,Strength,Chest,Shoulders,,high,,"NEW CORE: horizontal-adduction root; Dumbbell;Bench are its silent default equipment (mirrors Bench Press); named 'Chest Fly' so rear-delt and lat flies stay outside it; core carries no equipment (new convention); default ""Dumbbell;Bench"" is name-suppression only, not identity"
core,Crunch,Crunch,,,0,,Midline,Gymnastics,,,,,,,,,,,,,,Crunches,Strength,Core,,,high,,"NEW CORE: partial-ROM thoracic-flexion root; still deliberately NOT a Sit-Up derivation (that Gate A ruling stands); accessory core; core carries no equipment (new convention); default ""Bodyweight;Floor"" is name-suppression only, not identity"
core,Curl,Curl,,,0,,Pull,Weightlifting,,,,,,,,,,,,,,Barbell Curl,Strength,Biceps,,,high,,"NEW CORE (corrected principle): derivation root for the 17-row curl cluster; Barbell is its silent default equipment (mirrors Bench Press); accessory core so is_movement stays false; core carries no equipment (new convention); default ""Barbell"" is name-suppression only, not identity"
core,Halo,Halo,,,0,,Rotation,Weightlifting,,,,,,,,,,,,,,Kettlebell Halo,Strength,Shoulders,"Core, Triceps, Upper Back",,high,,PROMOTED CORE; Kettlebell is its default equipment for name suppression only
core,Lat Pulldown,Lat Pulldown,,,0,,Pull,Weightlifting,,,,,,,,,,,,,,,,,,,high,,new core row (core default equipment: Cable)
core,Leg Curl,Leg Curl,,,0,,Hinge,Weightlifting,,,,,,,,,,,,,,Lying Leg Curls,Strength,Hamstrings,,,high,,"NEW CORE: knee-flexion root; the lying (Prone) machine curl is its silent default, so 'Lying' needs no stance value; leg-curl machine has no equipment value; core carries no equipment (new convention); default ""Machine"" is name-suppression only, not identity"
core,Leg Press,Leg Press,,,0,,Squat,Weightlifting,,,,,,,,,,,,,,,Strength,"Glutes, Hamstrings, Quads",,,high,,"NEW CORE: sled-press root; leg-press machine has no equipment value (the addendum covers Cable + Smith only) so the core carries none; core carries no equipment (new convention); default ""Machine"" is name-suppression only, not identity"
core,Leg Raise,Leg Raise,,,0,,Midline,Gymnastics,,,,,,,,,,,,,,Leg Raises,Strength,"Core, Hip Flexors",,,high,,PROMOTED CORE: the revoked non-load threshold had blocked this; 7 members
core,Mountain Climber,Mountain Climber,,,0,,Midline,Gymnastics,,,,,,,,,,,,,,Mountain Climber With 1 Sec Pause,MetCon,Core,"Hip Flexors, Quads, Shoulders",Pause (1 sec) is prescription-time; base Mountain Climber row does not exist,high,,PROMOTED CORE: Pause is a modifier per the dictionary and drops from the name; core carries no equipment (Bodyweight;Floor is its default for name suppression only)
core,Plank,Plank,,,0,,Midline,Gymnastics,,,,,,,,,,,,,,,,,,,high,,"new core row (core default equipment: Bodyweight, Floor)"
core,Raise,Raise,,,0,,Push/Press,Weightlifting,,,,,,,,,,,,,,,,,,,high,,new core row (core default equipment: Dumbbell)
core,Reverse Crunch,Reverse Crunch,,,0,,Midline,Gymnastics,,,,,,,,,,,,,,Reverse Crunch Pulse,Strength,Core,Hip Flexors,"pulse = tempo, prescription-time",high,,"NEW CORE: pelvic-flexion root - the opposite joint action to Crunch, so a separate root rather than a child; the 'Pulse' cue is a tempo modifier and drops from the name; core carries no equipment (new convention); default ""Bodyweight;Floor"" is name-suppression only, not identity"
core,Russian Twist,Russian Twist,,,0,,Midline,Gymnastics,,,,,,,,,,,,,,Russian Twists,Strength,"Core, Obliques",Hip Flexors,,high,,PROMOTED CORE: the revoked non-load threshold had blocked this
core,Triceps Extension,Triceps Extension,,,0,,Push/Press,Weightlifting,,,,,,,,,,,,,,,Strength,Triceps,,,high,,"NEW CORE: implement-agnostic elbow-extension root; the Kettlebell seed drops (cores carry no identity attributes); accessory core; core carries no equipment (new convention); default ""none"" is name-suppression only, not identity"
core,Triceps Pushdown,Triceps Pushdown,,,0,,Push/Press,Weightlifting,,,,,,,,,,,,,,Tricep Pushdown; Tricep Pushdown - Rope Attachment,Strength,Triceps,,,high,,"NEW CORE, deliberately SEPARATE from Triceps Extension: every pushdown row and the overhead-extension rows are all Cable-equipped, so one root would make 'Cable Triceps Extension' ambiguous (humerus position has no attribute); Cable is its silent default; core carries no equipment (new convention); default ""Cable"" is name-suppression only, not identity"
derive,Kettlebell Around the World,Kettlebell Around the World,Around the World,Around the World,1,,Rotation,Weightlifting,Kettlebell,,,,,,,,,,,,,Kettlebell Around The World,Strength,"Core, Obliques","Forearms / Grip, Shoulders",,high,,shoulder accessory
derive,Close-Grip Bench Press,Close-Grip Bench Press,Bench Press,Bench Press,1,,Push/Press,Weightlifting,Barbell;Bench,,,,,,Close,,,,,,,Close-Grip Barbell Bench Press,Strength,"Chest, Triceps",,,high,,generated 'Close-Grip Bench Press' (Barbell silent as core default)
derive,Cross Body Single-Arm Floor Press,Supine Floor Kettlebell Bench Press,Bench Press,Bench Press,1,,Push/Press,Weightlifting,Kettlebell;Floor,,Supine,,Unilateral,,,,,,,,,Supine Floor Kettlebell Bench Press,Strength,"Chest, Triceps","Core, Shoulders",,low,yes,floor press = Supine stance + Floor; cross-body cue not expressible; Bench Press noun awkward for floor work
derive,Decline Bench Press,Decline Bench Press,Bench Press,Bench Press,1,,Push/Press,Weightlifting,Barbell;Bench,,,,,,,Decline,,,,,,,Strength,"Chest, Triceps",,,high,,Bench Angle addendum
derive,Dumbbell Bench Press,Dumbbell Bench Press,Bench Press,Bench Press,1,,Push/Press,Weightlifting,Dumbbell;Bench,,,,,,,,,,,,,,Strength,"Chest, Shoulders, Triceps",,,high,,Dumbbell
derive,Dumbbell Bridge Single Chest Press,Bridge Dumbbell Bench Press,Bench Press,Bench Press,1,,Push/Press,Weightlifting,Dumbbell,,Bridge; Bridge,,Unilateral,,,,,,,,,Bridge Dumbbell Bench Press,Strength,Chest,"Core, Glutes, Shoulders, Triceps",,medium,,stance Bridge - bridge IS a stance now
derive,Incline Bench Press,Incline Bench Press,Bench Press,Bench Press,1,,Push/Press,Weightlifting,Barbell;Bench,,,,,,,Incline,,,,,,Barbell Incline Bench Press (Medium-Grip),Strength,"Chest, Shoulders, Triceps",,,high,,Bench Angle addendum resolves this; generated 'Incline Bench Press'
derive,Kettlebell Bench Press,Kettlebell Bench Press,Bench Press,Bench Press,1,,Push/Press,Weightlifting,Kettlebell;Bench,,,,,,,,,,,,,,Strength,Chest,"Shoulders, Triceps",,high,,Kettlebell
derive,Kettlebell Bridge Press,Bridge Kettlebell Bench Press,Bench Press,Bench Press,1,,Push/Press,Weightlifting,Kettlebell,,Bridge; Bridge,,,,,,,,,,,Bridge Kettlebell Bench Press,Strength,Chest,"Core, Glutes, Shoulders, Triceps",description prescribes slow tempo,medium,,stance Bridge
derive,Kettlebell Crush Press,Crush Kettlebell Bench Press,Bench Press,Bench Press,1,,Push/Press,Weightlifting,Kettlebell,,,,,,,,Crush; Crush,,,,,Crush Kettlebell Bench Press,Strength,"Chest, Triceps","Core, Forearms / Grip, Shoulders",,medium,,"style Crush; no bench, so no collision with Kettlebell Bench Press"
derive,Landmine Chest Press,Landmine Bench Press,Bench Press,Bench Press,1,,Push/Press,Weightlifting,Landmine;Barbell; Landmine,,,,,,,,,,,,,Landmine Bench Press,Strength,Chest,"Shoulders, Triceps",,medium,,equipment Landmine (new value)
derive,Machine Bench Press,Machine Bench Press,Bench Press,Bench Press,1,,Push/Press,Weightlifting,Machine; Machine,,,,,,,,,,,,,,Strength,"Chest, Triceps",,,medium,,equipment Machine (new value) closes the press-machine gap
derive,Wide-Grip Bench Press,Wide-Grip Bench Press,Bench Press,Bench Press,1,,Push/Press,Weightlifting,Barbell;Bench,,,,,,Wide,,,,,,,Wide Grip Bench Press,Strength,"Chest, Shoulders, Triceps",,,high,,Wide grip width
derive,Close-Grip Dumbbell Bench Press,Close-Grip Dumbbell Bench Press,Bench Press,Dumbbell Bench Press,2,,Push/Press,Weightlifting,Dumbbell;Bench,,,,,,Close,,,,,,,Close Grip Dumbbell Bench Press,Strength,Triceps,"Chest, Shoulders",,high,,Close grip width + Dumbbell
derive,Dumbbell Squeeze Press,Crush Dumbbell Bench Press,Bench Press,Dumbbell Bench Press,2,,Push/Press,Weightlifting,Dumbbell;Bench,,,,,,,,Crush; Crush,,,,,Crush Dumbbell Bench Press,Strength,Chest,"Shoulders, Triceps",,medium,,style Crush - the Close-Grip DB Bench collision the prior pass feared is gone
derive,Hollow Hold Crush Press,Crush Hollow Kettlebell Bench Press,Bench Press,Kettlebell Crush Press,2,,Push/Press,Weightlifting,Kettlebell,,Hollow; Hollow,,,,,,Crush; Crush,,,,,Crush Hollow Kettlebell Bench Press,Strength,"Chest, Core, Triceps","Hip Flexors, Shoulders",,medium,,stance Hollow + style Crush (both new)
derive,Incline Dumbbell Press,Incline Dumbbell Bench Press,Bench Press,Dumbbell Bench Press,2,,Push/Press,Weightlifting,Dumbbell;Bench,,,,,,,Incline,,,,,,Incline Dumbbell Bench Press,Strength,"Chest, Shoulders, Triceps",,,high,,Bench Angle addendum; 'Incline Dumbbell Press' is the world's name (generated appends 'Bench')
derive,Dumbbell Bent-Over Row,Dumbbell Bent-Over Row,Bent-Over Row,Bent-Over Row,1,,Pull,Weightlifting,Dumbbell,,,,,,,,,,,,,Bent Over Two-Dumbbell Row,Strength,"Biceps, Lats, Upper Back",,,high,,generated 'Dumbbell Bent-Over Row' beats the import name
derive,Kettlebell Bent-Over Row,Kettlebell Bent-Over Row,Bent-Over Row,Bent-Over Row,1,,Pull,Weightlifting,Kettlebell,,,,,,,,,,,,,Bent Over Row,Strength,"Lats, Upper Back","Biceps, Core, Forearms / Grip",,high,,Kettlebell; dup winner over generic Bent Over Row
derive,Seal Row,Prone Bench Bent-Over Row,Bent-Over Row,Bent-Over Row,1,,Pull,Weightlifting,Barbell;Bench,,Prone,,,,,,,,,,,Prone Bench Bent-Over Row,Strength,"Biceps, Lats, Upper Back",,,medium,,Supine/Prone split applied: Prone (chest-down on bench)
derive,Seated Cable Row,Seated Cable Bent-Over Row,Bent-Over Row,Bent-Over Row,1,,Pull,Weightlifting,Cable,,Seated,,,,,,,,,,,Seated Cable Bent-Over Row; Seated Cable Rows,Strength,"Biceps, Lats, Upper Back",,,medium,,Cable addendum; DELTA from Gate A outlier; core noun 'Bent-Over' suppressed in curated name
derive,Smith Machine Bent-Over Row,Smith Machine Bent-Over Row,Bent-Over Row,Bent-Over Row,1,,Pull,Weightlifting,Smith Machine,,,,,,,,,,,,,Smith Machine Bent Over Row,Strength,"Biceps, Lats, Upper Back",,,medium,,Smith Machine addendum; DELTA from Gate A outlier
derive,Alternating Gorilla Row,Alternating Kettlebell Bent-Over Row,Bent-Over Row,Kettlebell Bent-Over Row,2,,Pull,Weightlifting,Kettlebell,,,,Alternating,,,,,,,,,Alternating Gorilla Rows; Alternating Kettlebell Bent-Over Row,Strength,"Lats, Upper Back","Biceps, Core, Forearms / Grip",,medium,,gorilla (bells-on-floor) stance not expressible; name singularized
derive,Ballistic Row,Plyo Kettlebell Bent-Over Row,Bent-Over Row,Kettlebell Bent-Over Row,2,,Pull,Weightlifting,Kettlebell,,,,,,,,Plyometric,,,,,Plyo Kettlebell Bent-Over Row,Strength,"Lats, Upper Back","Biceps, Core, Forearms / Grip",,low,yes,explosive KB row; Plyo style; may be outlier
derive,Boat Rows,V-Sit Kettlebell Bent-Over Row,Bent-Over Row,Kettlebell Bent-Over Row,2,,Midline,Weightlifting,Kettlebell,,V-Sit; V-Sit,,,,,,,,,,,V-Sit Kettlebell Bent-Over Row,Strength,"Core, Upper Back","Biceps, Hip Flexors, Lats",,low,yes,stance V-Sit (boat pose)
derive,Single-Arm Dumbbell Row,Bench Dumbbell Bent-Over Row,Bent-Over Row,Dumbbell Bent-Over Row,2,,Pull,Weightlifting,Dumbbell;Bench,,,,Unilateral,,,,,,,,,Bench Dumbbell Bent-Over Row; One-Arm Dumbbell Row,Strength,"Biceps, Lats, Upper Back",,,medium,,Unilateral silent -> generated name would collide with the two-DB row; curated name required
derive,Single-Arm Kettlebell Row,Kettlebell Bent-Over Row,Bent-Over Row,Kettlebell Bent-Over Row,2,,Pull,Weightlifting,Kettlebell,,,,Unilateral,,,,,,,,,Kettlebell Bent-Over Row,Strength,"Lats, Upper Back","Biceps, Core, Forearms / Grip",,high,,Kettlebell + Unilateral
derive,Wide-Grip Seated Cable Row,Wide-Grip Seated Cable Bent-Over Row,Bent-Over Row,Seated Cable Row,2,,Pull,Weightlifting,Cable,,Seated,,,,Wide,,,,,,,Wide Grip Seated Row; Wide-Grip Seated Cable Bent-Over Row,Strength,Upper Back,"Biceps, Lats",,medium,,Cable addendum; DELTA from Gate A outlier
derive,Static Squat Single-Arm Row,Squat-Hold Kettlebell Bent-Over Row,Bent-Over Row,Single-Arm Kettlebell Row,3,,Pull,Weightlifting,Kettlebell,,Squat-Hold; Squat-Hold,,Unilateral,,,,,,,,,Squat-Hold Kettlebell Bent-Over Row; Static Squat Single-Arm Rows,Strength,"Lats, Quads, Upper Back","Biceps, Core, Glutes",static squat hold is prescription-time framing,medium,,stance Squat-Hold (new value)
derive,Lateral Burpee Over Dumbbell,Dumbbell Burpee,Burpee,Burpee,1,,Plyometric,Gymnastics,Dumbbell;Floor,,,,,,,,,,,,,Burpee Over Dumbbell; Dumbbell Burpee; Dumbbell Lateral Burpee; Lateral Burpees Over The Dumbbell; Lateral Jump-Over Burpee,MetCon,"Chest, Core, Glutes, Quads, Shoulders","Calves, Hamstrings, Lower Back, Triceps",,high,,"lateral-over target not expressible; curated, singularized"
derive,Donkey Calf Raise,Dumbbell Donkey Calf Raise,Calf Raise,Calf Raise,1,,Activation,Weightlifting,Dumbbell,,,,,,,,,,,,donkey,Dumbbell Donkey Calf Raise,Strength,Calves,,,medium,,"CORRECTION 5: the defining feature is hip flexion, not the dumbbell; variant donkey (Dumbbell alone generated a different exercise)"
derive,Leg Press Calf Press,Supine Machine Calf Raise,Calf Raise,Calf Raise,1,,Activation,Weightlifting,Machine; Machine,,Supine,,,,,,,,,,,Calf Press on the Leg Press Machine; Supine Machine Calf Raise,Strength,Calves,,,high,,Machine + Supine (reclined on the sled); Supine is what separates it from Seated Calf Raise
derive,Seated Calf Raise,Seated Machine Calf Raise,Calf Raise,Calf Raise,1,,Activation,Weightlifting,Machine; Machine,,Seated,,,,,,,,,,,Seated Machine Calf Raise,Strength,Calves,,,high,,equipment Machine (CORRECTION 2: repairs the empty-fingerprint core family)
derive,Single-Leg Calf Raise,Single-Leg Calf Raise,Calf Raise,Calf Raise,1,,Activation,Weightlifting,Bodyweight,,Single-Leg,,Unilateral,,,,,,,,,Single-Leg Heel Raise; Unilateral Calf Raise,Strength,Calves,,,high,,Single-Leg stance; modality copied down from the core (was Recovery); Box/Wall seeds drop as incidental supports (the description says flat ground works)
derive,Waiter's Carry,Kettlebell Waiter Carry,Carry,Carry,1,yes,Carry,Weightlifting,Kettlebell,Waiter,,,,,,,,,,,,Kettlebell Waiter Carry,Strength,"Core, Shoulders","Forearms / Grip, Obliques, Upper Back",,high,,Waiter load position (added for this row); world name kept
derive,Alternating Chest Fly,Alternating Chest Fly,Chest Fly,Chest Fly,1,,Push/Press,Weightlifting,Dumbbell;Bench,,,,Alternating,,,,,,,,,Alternating Dumbbell Flys,Strength,Chest,Shoulders,,high,,Alternating symmetry; Dumbbell;Bench suppressed as core defaults
derive,Cable Chest Fly,Cable Chest Fly,Chest Fly,Chest Fly,1,,Push/Press,Weightlifting,Cable,,,,,,,,,,,,,Cable Flys,Strength,Chest,,,high,,"Cable (standing crossover, no bench); plural dialect replaced"
derive,Dumbbell Bridge Fly,Bridge Chest Fly,Chest Fly,Chest Fly,1,,Push/Press,Weightlifting,Dumbbell,,Bridge; Bridge,,,,,,,,,,,Bridge Chest Fly,Strength,Chest,"Glutes, Shoulders",,high,,stance Bridge (new value); the hold-plus-movement exclusion is lifted
derive,Low To High Dumbbell Fly,Low-to-High Chest Fly,Chest Fly,Chest Fly,1,,Push/Press,Weightlifting,Dumbbell;Bench,,,,,,,,,Low-to-High,,,,Low To High Dumbbell Flys; Low-to-High Chest Fly,Strength,Chest,Shoulders,,medium,,RESOLVED COLLISION: Direction Low-to-High replaces the declared collision with the Chest Fly core
derive,Flat Bench Cable Flyes,Supine Cable Chest Fly,Chest Fly,Cable Chest Fly,2,,Push/Press,Weightlifting,Cable;Bench,,Supine,,,,,Flat,,,,,,Supine Cable Chest Fly,Strength,Chest,,,medium,,Supine stance + Bench is what separates it from the standing Cable Chest Fly; Flat angle is silent
derive,Seated Cable Chest Fly,Seated Cable Chest Fly,Chest Fly,Cable Chest Fly,2,,Push/Press,Weightlifting,Cable,,Seated,,,,,,,,,,,Seated Mid Cable Fly,Strength,Chest,Shoulders,,high,,Cable + Seated
derive,Single-Arm Cable Fly,Cable Chest Fly,Chest Fly,Cable Chest Fly,2,,Push/Press,Weightlifting,Cable,,,,Unilateral,,,,,,,,,Cable Chest Fly,Strength,Chest,Shoulders,,medium,,POLICY(a) curated-name child: Unilateral is silent; DECLARED generated-name collision with Cable Chest Fly - same treatment as One-Arm Dumbbell Row
derive,Hang Clean,Hang Clean,Clean,Clean,1,yes,Olympic,Weightlifting,Barbell,Hang,,,,,,,,,,,,,Strength,"Glutes, Hamstrings, Shoulders","Core, Forearms / Grip, Quads, Upper Back",,high,,EQUIPMENT CORRECTION: row was tagged Dumbbell; the movement as named is a barbell lift
derive,Kettlebell Squat Clean,Kettlebell Clean,Clean,Clean,1,,Olympic,Weightlifting,Kettlebell,,,,,,,,,,,,,Kettlebell Clean,Strength,"Glutes, Quads, Shoulders","Core, Forearms / Grip, Hamstrings, Upper Back",,medium,,full-depth (silent default); 'Squat Clean' wording kept to distinguish from rack-style KB cleans
