attribute_table,value_name,category_if_any,name_fragment,name_order,is_identity,implies_equipment,notes
variant_labels (NEW TABLE),chest-to-bar,core scope: Pull-Up,Chest-to-Bar,48,true,,"G2-scoped to core ""Pull-Up"". Used by 1 row(s): Chest-to-Bar"
variant_labels (NEW TABLE),donkey,core scope: Calf Raise,Donkey,48,true,,"G2-scoped to core ""Calf Raise"". Used by 1 row(s): Donkey Calf Raise"
variant_labels (NEW TABLE),double-tap,core scope: Mountain Climber,Double-Tap,48,true,,"G2-scoped to core ""Mountain Climber"". Used by 1 row(s): 2 Tap Climbers"
variant_labels (NEW TABLE),double-under,core scope: Jump Rope,Double-Under,48,true,,"G2-scoped to core ""Jump Rope"". Used by 1 row(s): Double-Under"
variant_labels (NEW TABLE),ez-bar,core scope: Curl,EZ-Bar,48,true,,"G2-scoped to core ""Curl"". Used by 2 row(s): EZ Bar Spider Curls, EZ-Bar Curl"
variant_labels (NEW TABLE),elbow-reach,core scope: Crunch,Elbow-Reach,48,true,,"G2-scoped to core ""Crunch"". Used by 1 row(s): Knee To Elbow (user-confirmed 2026-09-08)"
variant_labels (NEW TABLE),grab-reach-pull,core scope: Plank,Grab-Reach-Pull,48,true,,"G2-scoped to core ""Plank"". Used by 1 row(s): Plank Grab, Reach, And Pull"
variant_labels (NEW TABLE),high-stance,core scope: Leg Press,High-Stance,48,true,,"G2-scoped to core ""Leg Press"". Used by 1 row(s): High Stance Leg Press"
variant_labels (NEW TABLE),horn,core scope: Curl,Horn,48,true,,"G2-scoped to core ""Curl"". Used by 1 row(s): Kettlebell Horn Curl"
variant_labels (NEW TABLE),jacks,core scope: Plank,Jack,48,true,,"G2-scoped to core ""Plank"". Used by 1 row(s): Plank Jacks"
variant_labels (NEW TABLE),pull-through,core scope: Plank,Pull-Through,48,true,,"G2-scoped to core ""Plank"". Used by 2 row(s): Kettlebell Plank Pull Through, Plank Pull Thru"
variant_labels (NEW TABLE),reach,core scope: Plank,Reach,48,true,,"G2-scoped to core ""Plank"". Used by 1 row(s): Plank Reaches"
variant_labels (NEW TABLE),renegade-row,core scope: Plank,Renegade-Row,48,true,,"G2-scoped to core ""Plank"". Used by 1 row(s): Plank Rows"
variant_labels (NEW TABLE),spider,core scope: Mountain Climber,Spider,48,true,,"G2-scoped to core ""Mountain Climber"". Used by 1 row(s): Spider Plank"
variant_labels (NEW TABLE),toe-tap,core scope: Crunch,Toe-Tap,48,true,,"G2-scoped to core ""Crunch"". Used by 3 row(s): Cable-Resisted Toe Touches, Toe Tap Crunch, Weighted Toe Tap Crunches"
variant_labels (NEW TABLE),walkout,core scope: Push-Up,Walkout,48,true,,"G2-scoped to core ""Push-Up"". Used by 1 row(s): Walkout Push-up"
exercises (NEW COLUMN),core_default_equipment,,,,false,,"NOT in the fingerprint. Name-suppression only: the equipment a core is normally performed with, so children do not repeat it. Same mechanism as load_positions.implies_equipment_id. Required because cores now carry no identity equipment"
exercises (NEW CORE ROW),Carry,,,,true,,"core row to CREATE; is_core=true, no identity equipment, core_default_equipment=""none""; 1 children"
exercises (NEW CORE ROW),Bent-Over Row,,,,true,,"core row to CREATE; is_core=true, no identity equipment, core_default_equipment=""Barbell""; 12 children"
exercises (NEW CORE ROW),Lat Pulldown,,,,true,,"core row to CREATE; is_core=true, no identity equipment, core_default_equipment=""Cable""; 5 children"
exercises (NEW CORE ROW),Raise,,,,true,,"core row to CREATE; is_core=true, no identity equipment, core_default_equipment=""Dumbbell""; 6 children"
exercises (NEW CORE ROW),Plank,,,,true,,"core row to CREATE; is_core=true, no identity equipment, core_default_equipment=""Bodyweight,Floor""; 10 children"
